esmini GIT REV: 41f5f08
esmini GIT TAG: 
esmini GIT BRANCH: master
esmini BUILD VERSION: N/A - client build
Scenario File Name: ./resources/esmini-sim/./dcase.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
20, 1.000000, Ego, 0, 16.000000, 0.000000, 1.731989, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 48.000000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 48.000000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
21, 1.050000, Ego, 0, 16.000000, 0.000000, 4.017703, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 48.800000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 48.800000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
22, 1.100000, Ego, 0, 16.000000, 0.000000, 0.020232, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 49.600000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 49.600000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
23, 1.150000, Ego, 0, 16.000000, 0.000000, 2.305946, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 50.400000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.400000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
24, 1.200000, Ego, 0, 16.000000, 0.000000, 4.591660, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 51.200000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 51.200000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
25, 1.250000, Ego, 0, 16.000000, 0.000000, 0.594189, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 52.000000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 52.000000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
26, 1.300000, Ego, 0, 16.000000, 0.000000, 2.879904, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 52.800000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 52.800000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
27, 1.350000, Ego, 0, 16.000000, 0.000000, 5.165618, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 53.600000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 53.600000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
28, 1.400000, Ego, 0, 16.000000, 0.000000, 1.168147, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 54.400000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 54.400000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
29, 1.450000, Ego, 0, 16.000000, 0.000000, 3.453861, 1.458009, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 55.200000, -1.535000, 0.000000, 16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55.200000, -1.535000, -1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , Pedestrian, 1, 0.000000, 0.000000, 0.000000, -0.035237, 0.000419, 0.909958, 1.054907, 0.250000, 1.782590, 110.000000, -4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 110.000000, -4.000000, -1, -2.465000, 1.570795, 0.000000, 1.570796, 1.570795, 0.000000, 0.000000, , 
